location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20200101T0000,-1.4897546
20200101T0100,-1.7297546
20200101T0200,-2.0697546
20200101T0300,-2.3597546
20200101T0400,-2.5897546
20200101T0500,-2.6797547
20200101T0600,-2.3597546
20200101T0700,-1.8997546
20200101T0800,-1.9197546
20200101T0900,-0.9697546
20200101T1000,-0.5697546
20200101T1100,0.14024541
20200101T1200,0.7802454
20200101T1300,1.1802454
20200101T1400,1.2902454
20200101T1500,1.6402454
20200101T1600,-0.6897546
20200101T1700,-1.5897547
20200101T1800,-1.5197545
20200101T1900,-1.4097546
20200101T2000,-1.7397546
20200101T2100,-1.9097546
20200101T2200,-1.6197547
20200101T2300,-1.4397546
20200102T0000,-1.3797545
20200102T0100,-1.5597545
20200102T0200,-1.6697546
20200102T0300,-1.7697545
20200102T0400,-1.5197545
20200102T0500,-1.3997546
20200102T0600,-1.4497546
20200102T0700,-1.4297546
20200102T0800,-1.2097546
20200102T0900,-0.5897546
20200102T1000,0.5402454
20200102T1100,1.3902454
20200102T1200,2.1202455
20200102T1300,2.9802456
20200102T1400,3.0002456
20200102T1500,1.5702454
20200102T1600,0.050245404
20200102T1700,-0.0697546
20200102T1800,0.040245414
20200102T1900,0.3702454
20200102T2000,0.7502454
20200102T2100,0.7802454
20200102T2200,1.0602454
20200102T2300,1.2602453
20200103T0000,1.7402455
20200103T0100,1.9302454
20200103T0200,1.7502455
20200103T0300,1.6902454
20200103T0400,2.0902452
20200103T0500,2.2202454
20200103T0600,2.2602453
20200103T0700,3.0402455
20200103T0800,2.9402456
20200103T0900,3.6102452
20200103T1000,4.650245
20200103T1100,5.980245
20200103T1200,6.980245
20200103T1300,7.5502453
20200103T1400,7.900245
20200103T1500,8.090245
20200103T1600,8.130245
20200103T1700,8.040245
20200103T1800,7.630245
20200103T1900,7.630245
20200103T2000,7.420245
20200103T2100,7.540245
20200103T2200,7.8502455
20200103T2300,7.7202454
20200104T0000,7.6002455
20200104T0100,7.690245
20200104T0200,7.690245
20200104T0300,7.4902453
20200104T0400,7.250245
20200104T0500,6.940245
20200104T0600,6.7802453
20200104T0700,6.4702454
20200104T0800,6.360245
20200104T0900,6.670245
20200104T1000,7.0302453
20200104T1100,7.040245
20200104T1200,7.290245
20200104T1300,7.360245
20200104T1400,7.130245
20200104T1500,6.480245
20200104T1600,5.8102455
20200104T1700,4.7002454
20200104T1800,4.2602453
20200104T1900,4.3702455
20200104T2000,4.2002454
20200104T2100,3.9502454
20200104T2200,2.7502456
20200104T2300,2.6402454
20200105T0000,2.5002456
20200105T0100,2.2602453
20200105T0200,1.8002454
20200105T0300,1.3002454
20200105T0400,0.77024543
20200105T0500,0.080245405
20200105T0600,-0.3197546
20200105T0700,-1.1397547
20200105T0800,-0.5497546
20200105T0900,0.9402454
20200105T1000,2.8202453
20200105T1100,4.9102454
20200105T1200,6.1402454
20200105T1300,6.920245
20200105T1400,7.150245
20200105T1500,6.520245
20200105T1600,3.9502454
20200105T1700,2.1002455
20200105T1800,1.1102455
20200105T1900,0.6702454
20200105T2000,-0.03975457
20200105T2100,-0.5697546
20200105T2200,-0.62975454
20200105T2300,-0.85975456
20200106T0000,-0.87975454
20200106T0100,-1.2497545
20200106T0200,-1.1597546
20200106T0300,-1.2997546
20200106T0400,-1.4997545
20200106T0500,-1.1597546
20200106T0600,-1.1897546
20200106T0700,-1.2197546
20200106T0800,-1.0897546
20200106T0900,-0.39975458
20200106T1000,0.7302454
20200106T1100,1.7702454
20200106T1200,3.1102452
20200106T1300,4.0502453
20200106T1400,4.7602453
20200106T1500,3.7102456
20200106T1600,0.9902454
20200106T1700,0.5902454
20200106T1800,0.4802454
20200106T1900,0.17024541
20200106T2000,0.4502454
20200106T2100,1.0202454
20200106T2200,1.1202455
20200106T2300,1.0802454
20200107T0000,0.89024544
20200107T0100,0.5602454
20200107T0200,1.3602455
20200107T0300,1.2302454
20200107T0400,1.6402454
20200107T0500,2.4002454
20200107T0600,2.9502454
20200107T0700,3.3002453
20200107T0800,3.5302453
20200107T0900,3.5102453
20200107T1000,4.5602455
20200107T1100,5.8102455
20200107T1200,6.880245
20200107T1300,7.3402452
20200107T1400,7.4302454
20200107T1500,7.2602453
20200107T1600,6.8102455
20200107T1700,6.1202455
20200107T1800,4.670245
20200107T1900,3.7602453
20200107T2000,3.2802453
